파일명,확정라벨,편입파일명,처리,근거
KakaoTalk_20260624_151154019.jpg,콘치즈,101_콘치즈.jpg,편입,초안 그대로(확신 높음)
KakaoTalk_20260624_151221210.jpg,조기구이,102_조기구이.jpg,편입,초안 그대로. ⚠ AI가 "굴비구이"로 답하면 NONE 처리됨(엔진 GT 단일명 한계 — 알려진 제약)
KakaoTalk_20260624_151249106.jpg,쭈꾸미볶음,103_쭈꾸미볶음.jpg,편입,Claude 육안: 짧은 다리·흡반 다발 = 쭈꾸미 확인(오징어 링 없음). 근접샷 채택
KakaoTalk_20260624_151234645.jpg,쭈꾸미볶음,,제외(중복),151249106과 동일 요리 — 광각샷 미채택 (2026-07-22 제이 확정: 각 1장)
KakaoTalk_20260624_151241844.jpg,등갈비강정,104_등갈비강정.jpg,편입,초안 그대로(확신 높음)
KakaoTalk_20260624_151334692.jpg,갈비탕,105_갈비탕.jpg,편입,Claude 육안: 뼈째 고기·지단·대파·맑은국물 = 갈비탕. 전체 구도 채택
KakaoTalk_20260624_151255257.jpg,갈비탕,,제외(중복),151334692와 동일 탕 — 탑다운샷 미채택 (제이 확정: 각 1장)
KakaoTalk_20260624_151301176.jpg,황태구이,106_황태구이.jpg,편입,★ 제이 확정 2026-07-22: 황태구이 (Claude 코다리 추정은 오답이었음)
KakaoTalk_20260624_151315978.jpg,양배추샐러드,107_양배추샐러드.jpg,편입,Claude 육안 확인. ⚠ AI가 "샐러드"만 답하면 LOOSE(3/6=50%<60%)
KakaoTalk_20260624_151356779.jpg,고등어구이,108_고등어구이.jpg,편입,Claude 육안: 고등어 반갈이 2쪽 확인. GT는 대표음식 "고등어구이"(백반 제외 — 단일명이 공정)
KakaoTalk_20260624_151402867.jpg,김치전골,109_김치전골.jpg,편입,초안 그대로. ⚠ AI "김치찌개" 답변 시 LOOSE(앞2글자) — 알려진 제약
KakaoTalk_20260624_151415418.jpg,돌솥비빔밥,110_돌솥비빔밥.jpg,편입,초안 그대로. AI "비빔밥" 시 CONTAINS(3/5=60%)
KakaoTalk_20260624_151418459.jpg,라면,111_라면.jpg,편입,초안 그대로(확신 높음)
KakaoTalk_20260624_151213233.jpg,쌈채소 반찬 상차림,,제외(복합),단일 음식 아님 (제이 확정: 복합 상차림 제외)
KakaoTalk_20260624_151328510.jpg,반찬 3종,,제외(복합),단일 음식 아님 (제이 확정)
KakaoTalk_20260624_151343051.jpg,나시레막,,제외(스톡성·별도보관),외국음식·전문촬영 성격. hard-case로 별도 보관 (제이 확정)
KakaoTalk_20260624_151350343.jpg,툭파(네팔식 고기국수),,제외(스톡성·별도보관),초안 "우육면 추정" → Claude 육안: 모모(만두) 동반 = 툭파. hard-case 보관 (제이 확정)
